noisy_question,mode,vision_path,ground_truth,true_baseline_output,agent_baseline_output,four_shot_output,true_baseline_bert_f1,agent_baseline_bert_f1,four_shot_bert_f1,true_baseline_bleu,agent_baseline_bleu,four_shot_bleu,true_baseline_rougeL_f1,agent_baseline_rougeL_f1,four_shot_rougeL_f1,true_baseline_kw_recall,agent_baseline_kw_recall,four_shot_kw_recall
what does this feel like?,combined,images_rgb/image_960_rgb.jpg,"soft, lined, fabric","soft, smooth, fabric, woven, plastic.","smooth, soft, woven, rough, flexible","woven, smooth, soft, flexible, rough",0.6874706,0.58667433,0.5333503,0.05372849659117709,0.05372849659117709,0.05372849659117709,0.5,0.25,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333
tell me about the texture,combined,images_rgb/image_2427_rgb.jpg,"smooth, plastic, deformable","smooth, leather-like, fabric.","smooth, soft, flexible, rough, cold","smooth, flexible, soft, plastic, leather.",0.71799797,0.66185826,0.7637036,0.11362193664674995,0.05372849659117709,0.06389431042462725,0.28571428571428575,0.25,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_1793_rgb.jpg,"hard, smooth, flat, splotchy","soft, fuzzy, rough, smooth.","smooth, rough, soft, hard, cool","soft, fuzzy, absorbent, plush, ribbed",0.7464258,0.69720167,0.6389389,0.0,0.06389431042462725,0.0,0.25,0.22222222222222224,0.0,0.0,0.5,0.0
Describe the tactile properties of this image.,combined,images_rgb/image_185_rgb.jpg,"mesh, plastic, deformable, hard","The tactile attributes for the given image are: soft, rough, smooth, woven.","rough, smooth, flexible, rigid, woven","woven, rough, scratchy, flexible, rigid",0.627366,0.7335235,0.7657342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tell me about the texture,combined,images_rgb/image_2096_rgb.jpg,"deformable, grainy, woven","soft, fuzzy, smooth, rubbery, ridged.","soft, fuzzy, smooth, rough, ridged","soft, fuzzy, woven, lace, rubbery",0.6391772,0.6072894,0.70085317,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.3333333333333333
Describe the tactile properties of this image.,combined,images_rgb/image_464_rgb.jpg,"hard, splotchy, smooth, flat","smooth, fabric, ridged, soft, flexible, rope-like, tag, rectangular.","soft, smooth, stretchy, lightweight, fabric","soft, stretchy, woven, smooth, flexible",0.71532106,0.5812071,0.6035766,0.02777619034011792,0.05372849659117709,0.05372849659117709,0.15384615384615383,0.22222222222222224,0.22222222222222224,0.25,0.25,0.25
texture?,combined,images_rgb/image_4490_rgb.jpg,"uneven, patterned, thick","smooth, rubbery, braided, woven, ropey.","smooth, flexible, woven, braided, rough","smooth, flexible, soft, rubbery, rigid",0.67739207,0.6821529,0.6339176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What can you tell me about touching this?,combined,images_rgb/image_2997_rgb.jpg,"deformable, grainy, fabric","The tactile attributes that can be inferred from the image are: soft, smooth, possibly slightly wrinkled, and elastic (around the neckline). 

These attributes are listed as: soft, smooth, wrinkled, elastic.","soft, smooth, lightweight, flexible, matte","soft, fabric, smooth, flexible, wrinkled",0.45455718,0.6283314,0.6565077,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.3333333333333333
tell me about the texture,combined,images_rgb/image_4330_rgb.jpg,"hard, lined, smooth","smooth, fuzzy, braided, woven, rough.","smooth, rough, soft, flexible, rigid","soft, flexible, smooth, rough, leather-like",0.6689182,0.66040874,0.7032611,0.0,0.0,0.0,0.25,0.25,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333
texture?,combined,images_rgb/image_473_rgb.jpg,"uneven, patterned, sewn, fabric",smooth.,"soft, smooth, stretchy, flexible, woven","soft, smooth, stretchy, flexible, fabric",0.5470278,0.6754045,0.71213263,0.0,0.0,0.05372849659117709,0.0,0.0,0.22222222222222224,0.0,0.0,0.25
what does this feel liek?,combined,images_rgb/image_3177_rgb.jpg,"elastic, lined, deformable, wrinkly","soft, smooth, elastic.","soft, smooth, elastic, rough, fabric","soft, smooth, stretchy, fuzzy, velvety",0.72794527,0.64168817,0.73026055,0.0,0.05372849659117709,0.0,0.28571428571428575,0.22222222222222224,0.0,0.0,0.25,0.0
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_2262_rgb.jpg,"lined, fabric, sewn","The tactile attributes of the image are: soft, smooth, flexible, slightly rough, ridged. 
These attributes are inferred from the visible seams and texture of the denim fabric.","smooth, rough, flexible, thick, woven","coarse, rough, stiff, thick, rugged",0.4949677,0.58327425,0.59757966,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
What can you tell me about touching this?,combined,images_rgb/image_2187_rgb.jpg,"lined, deformable, soft, woven","soft, fuzzy, ribbed, smooth, woven.","soft, fuzzy, smooth, woven, thick","soft, fuzzy, woven, rough, scratchy",0.75721234,0.72260356,0.69414353,0.05372849659117709,0.05372849659117709,0.05372849659117709,0.4444444444444445,0.4444444444444445,0.4444444444444445,0.25,0.5,0.5
What can you tell me about touching this?,combined,images_rgb/image_2480_rgb.jpg,"mesh, deformable, flimsy","smooth, lace, braided.","smooth, soft, flexible, woven, braided","soft, smooth, silky, lace, braided",0.67699826,0.69950074,0.649959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the tactile properties of this image.,combined,images_rgb/image_691_rgb.jpg,"elastic, sewn, wrinkly","smooth, fabric, rubber, wood, metal, plastic.","soft, smooth, lightweight, flexible, fabric","soft, fabric, smooth, flexible, lightweight",0.62467843,0.64473075,0.6894492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel liek?,combined,images_rgb/image_906_rgb.jpg,"lined, grainy, fabric, deformable","soft, fabric, wrinkled, smooth, flexible.","soft, smooth, lightweight, flexible, textured","soft, smooth, flexible, absorbent, fluffy",0.7429488,0.6913433,0.6748653,0.05372849659117709,0.0,0.0,0.22222222222222224,0.0,0.0,0.25,0.0,0.0
texture?,combined,images_rgb/image_2764_rgb.jpg,"fabric, soft, sewn","soft, smooth.","soft, smooth, lightweight, delicate, fabric","soft, smooth, fabric, delicate, fragile",0.619656,0.6464592,0.67035896,0.09069748827745895,0.05372849659117709,0.06389431042462725,0.4,0.25,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666
texture?,combined,images_rgb/image_1391_rgb.jpg,"soft, deformable, fabric","smooth, fabric, rubber, metal.","soft, smooth, flexible, ribbed, fabric","soft, smooth, flexible, fabric, ribbed",0.6230822,0.83968246,0.7557436,0.0,0.06389431042462725,0.05372849659117709,0.28571428571428575,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666
Describe the tactile properties of this image.,combined,images_rgb/image_700_rgb.jpg,"flat, hard, uneven","smooth, cool, hard, flat, glossy.","smooth, hard, cool, flat, glossy","hard, smooth, rigid, flat, plastic",0.6427186,0.65220237,0.6483716,0.06389431042462725,0.06389431042462725,0.06389431042462725,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666
what does this feel liek?,combined,images_rgb/image_1346_rgb.jpg,"hard, flat, splotchy, grainy","The tactile attributes of the denim, based on the image provided, are: smooth, rough, soft, and hard. 
These tactile attributes can be broken down as follows: 
- The denim itself appears to have a **smooth** texture, given its typical fabric weave.
- The presence of stitching and seams suggests a **rough** texture in certain areas.
- Denim is generally considered a **soft** fabric, although it can vary depending on its weight and treatment.
- The button and rivets on the denim suggest **hard** elements. 
Therefore, the list of key tactile attributes as a comma-separated list is: smooth, rough, soft, hard.","smooth, soft, fuzzy, rough, cool","soft, woven, rugged, smooth, flexible",0.42949662,0.7004501,0.70327395,0.0,0.0,0.0,0.0198019801980198,0.0,0.0,0.0,0.0,0.0
tell me about the texture,combined,images_rgb/image_1697_rgb.jpg,"fabric, coarse, sewn","soft, fuzzy, smooth, rubbery.","soft, smooth, fuzzy, rough, thick","soft, woven, smooth, rough, rigid",0.5334911,0.5212668,0.5138344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Describe the tactile properties of this image.,combined,images_rgb/image_2447_rgb.jpg,"fabric, uneven, coarse","smooth, soft, flexible, fabric, sewn, ridged.","soft, smooth, flexible, lightweight, stretchy","soft, flexible, smooth, sewn, fabric",0.64563364,0.6029108,0.64694625,0.040824829046386304,0.0,0.0,0.2222222222222222,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333
Describe the tactile properties of this image.,combined,images_rgb/image_3940_rgb.jpg,"woven, thick, deformable","soft, fabric, ridged, smooth, rubber, woven.","smooth, woven, soft, flexible, rough","soft, fabric, woven, smooth, elastic",0.6276045,0.62234515,0.71101594,0.0,0.05372849659117709,0.05372849659117709,0.2222222222222222,0.25,0.25,0.0,0.3333333333333333,0.3333333333333333
Describe the tactile properties of this image.,combined,images_rgb/image_3773_rgb.jpg,"fabric, lined, elastic","soft, smooth, ribbed, fuzzy.","soft, smooth, stretchy, ribbed, lightweight","soft, stretchy, ribbed, fuzzy, smooth",0.65799105,0.6806635,0.6526511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_2669_rgb.jpg,"coarse, mesh, deformable","The tactile attributes that can be inferred from the image are: smooth, lace, soft, possibly stretchy. 

These attributes are based on the visual appearance of the fabrics in the image. The black fabric appears to have a smooth side and a lace side, while the pink fabric looks soft and possibly made of a stretchy material.","soft, smooth, lace, textured, delicate","soft, lace, smooth, delicate, silky",0.46817,0.6624821,0.64206636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel like?,combined,images_rgb/image_1419_rgb.jpg,"hard, flat, splotchy, smooth","smooth, soft, fabric, plastic, metal.","soft, smooth, flexible, cool, rough","smooth, soft, flexible, rough, rigid",0.64692074,0.72845244,0.69480246,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.25,0.25,0.25
what does this feel like?,combined,images_rgb/image_2399_rgb.jpg,"lined, coarse, uneven, fabric","smooth, fabric, stitched, seam, flexible, soft.","soft, smooth, flexible, woven, rough","soft, fabric, sewn, flexible, smooth",0.66373044,0.5712256,0.63410544,0.0,0.0,0.0,0.2,0.0,0.22222222222222224,0.25,0.0,0.25
what does this feel liek?,combined,images_rgb/image_4174_rgb.jpg,"woven, deformable, thick","smooth, ridged, flexible, woven.","rough, smooth, flexible, woven, ridged","soft, flexible, woven, smooth, ridged",0.7334747,0.6505383,0.70923746,0.0,0.05372849659117709,0.05372849659117709,0.28571428571428575,0.25,0.25,0.0,0.3333333333333333,0.3333333333333333
what does this feel like?,combined,images_rgb/image_2007_rgb.jpg,"soft, fabric, deformable","soft, smooth, fabric.","soft, smooth, fuzzy, rough, flexible","soft, fabric, woven, textured, rough",0.73085755,0.6373776,0.68504953,0.11362193664674995,0.05372849659117709,0.11362193664674995,0.6666666666666666,0.25,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666
what does this feel liek?,combined,images_rgb/image_4023_rgb.jpg,"grainy, fabric, coarse","soft, fabric, smooth, slightly textured.","soft, smooth, woven, rough, flexible","soft, fabric, woven, flexible, smooth",0.60327905,0.49299034,0.6385679,0.05372849659117709,0.0,0.05372849659117709,0.25,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333
Describe the tactile properties of this image.,combined,images_rgb/image_1575_rgb.jpg,"glossy, splotchy, hard, flat","soft, smooth, fuzzy, ridged, rough, cool.","soft, rough, smooth, cool, flexible","soft, fuzzy, thick, plush, ridged",0.720036,0.71066254,0.714209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel liek?,combined,images_rgb/image_3298_rgb.jpg,"hard, flat, lined","The tactile attributes of the image are: smooth, canvas-like, rough, fabric. 
The image appears to show a piece of fabric, likely a bag or clothing item, with a canvas-like texture and a smooth, possibly painted or printed design on it. The tactile data provided seems to be an abstract representation, but based on the image, we can infer the tactile attributes of the fabric. 

So, if you were to touch this, it would feel like smooth, canvas-like, rough fabric.","smooth, soft, rough, woven, fabric","soft, fabric, smooth, flexible, woven",0.4261141,0.5780179,0.7299981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_3669_rgb.jpg,"fabric, coarse, deformable","The image shows a black fabric with a visible texture, suggesting it has a rough or woven feel. Based on this, the key tactile attributes, ignoring color, could be: rough, woven, fabric-like, slightly thick, smooth-weave.","smooth, soft, flexible, woven, rough","smooth, woven, fabric, soft, flexible",0.5338293,0.6065818,0.7451563,0.0,0.0,0.05372849659117709,0.05,0.0,0.25,0.0,0.0,0.3333333333333333
tell me about the texture,combined,images_rgb/image_3991_rgb.jpg,"patterned, grainy, sewn, fabric","smooth, soft, fabric, cotton, slightly wrinkled.","smooth, soft, flexible, wrinkled, rough","soft, woven, smooth, rough, flexible",0.6762559,0.60111403,0.6242723,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0
"Ignoring the color, I'm interested in the physical sensation one might get from this.",combined,images_rgb/image_1431_rgb.jpg,"hard, uneven, plastic","The image does not provide any information about tactile attributes. However, based on the objects visible in the image, the key tactile attributes could be: smooth, rough, soft, hard, metallic, fabric. 

Here is a list of tactile attributes for the objects visible in the image as a comma-separated list: smooth plastic, rough denim, soft fabric, hard metal, smooth buttons.","soft, smooth, fuzzy, rough, cool","smooth, soft, flexible, rough, rigid",0.4729034,0.68923044,0.6729074,0.0030932447039559207,0.0,0.0,0.06349206349206349,0.0,0.0,0.3333333333333333,0.0,0.0
Describe the tactile properties of this image.,combined,images_rgb/image_3875_rgb.jpg,"smooth, lined, flat, hard","The tactile attributes of the image are: rough, smooth, woven, ridged. 
The image shows a black and white striped fabric, a neon green cord, and a neon green fabric. The black and white striped fabric appears to have a rough texture, possibly made of canvas or a similar material. The neon green cord has a smooth surface with ridges from the woven pattern. The neon green fabric seems to have a smooth texture as well. Therefore, the key tactile attributes are rough, smooth, woven, ridged.","smooth, rough, flexible, soft, woven","coarse, woven, smooth, soft, flexible",0.4160184,0.6826445,0.6670315,0.0021298668832422764,0.05372849659117709,0.05372849659117709,0.02247191011235955,0.22222222222222224,0.22222222222222224,0.25,0.25,0.25
What can you tell me about touching this?,vision,images_rgb/image_437_rgb.jpg,"smooth, glossy, patterned","The key tactile attributes of the item in the image are: fabric, smooth, soft, stretchy, adjustable waist.","soft, smooth, stretchy, lightweight, fabric-like","soft, stretchy, smooth",0.62670815,0.70390767,0.6951929,0.011502783619900045,0.05372849659117709,0.0,0.1,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
"Ignoring the color, I'm interested in the physical sensation one might get from this.",vision,images_rgb/image_4210_rgb.jpg,"flat, lined, hard","smooth, braided, flexible, leather-like, ridged.","smooth, flexible, soft, cool, leather-like","soft, flexible, smooth",0.6241936,0.6687247,0.7341367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel like?,vision,images_rgb/image_3312_rgb.jpg,"fabric, coarse, deformable","soft, fabric, textured, smooth, woven.","soft, smooth, lightweight, flexible, woven","soft, fabric, smooth, flexible, lightweight",0.64794725,0.6510778,0.7081902,0.05372849659117709,0.0,0.05372849659117709,0.25,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333
"Ignoring the color, I'm interested in the physical sensation one might get from this.",vision,images_rgb/image_3131_rgb.jpg,"sewn, coarse, fabric, deformable","The key tactile attributes of the fabric in the image are: rough, textured, slightly crinkled, possibly slightly scratchy, loose weave, torn in places.","soft, rough, woven, flexible, fragile","coarse, woven, rough, stiff, brittle",0.6163596,0.6911476,0.6980483,0.0,0.0,0.05372849659117709,0.07407407407407408,0.0,0.22222222222222224,0.0,0.0,0.25
"Ignoring the color, I'm interested in the physical sensation one might get from this.",vision,images_rgb/image_3881_rgb.jpg,"flimsy, glossy, sewn","smooth, woven, rubber, metallic.","smooth, lightweight, woven, soft, flexible","smooth, flexible, woven, slippery, thin",0.71617985,0.72683567,0.75144035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what does this feel liek?,vision,images_rgb/image_2275_rgb.jpg,"lined, deformable, soft, woven","soft, stretchy, ribbed, smooth, lace.","soft, smooth, stretchy, woven, textured","soft, lace, woven, stretchy, smooth",0.7473094,0.7413365,0.7412199,0.05372849659117709,0.05372849659117709,0.05372849659117709,0.22222222222222224,0.4444444444444445,0.4444444444444445,0.25,0.5,0.5
what does this feel like?,vision,images_rgb/image_1398_rgb.jpg,"soft, lined, fabric","smooth, soft, rubber, fabric, metal.","smooth, soft, flexible, rubbery, plastic","hard, metallic, cool, smooth, rigid",0.66625124,0.6225505,0.66312665,0.05372849659117709,0.05372849659117709,0.0,0.5,0.25,0.0,0.6666666666666666,0.3333333333333333,0.0
What can you tell me about touching this?,vision,images_rgb/image_1871_rgb.jpg,"lined, grainy, fabric","The image appears to show a close-up of a gray fabric, possibly cotton or linen, with visible stitching and texture. The key tactile attributes of this fabric are: soft, smooth, slightly wrinkled, lightweight, possibly slightly stretchy.","soft, smooth, lightweight, flexible, woven","soft, flexible, smooth, fabric, wrinkled",0.5728278,0.6500599,0.67076176,0.005157142709886005,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.3333333333333333
what does this feel liek?,vision,images_rgb/image_2751_rgb.jpg,"sewn, soft, fabric","soft, lightweight, smooth, slightly stretchy, fabric seams.","soft, smooth, lightweight, delicate, fabric-like","soft, smooth, delicate",0.67905086,0.6444146,0.5984916,0.039281465090051315,0.05372849659117709,0.11362193664674995,0.4,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
texture?,vision,images_rgb/image_2875_rgb.jpg,"fabric, soft, deformable","soft, smooth, wrinkled.","soft, smooth, lightweight, delicate, wrinkled","soft, smooth, wrinkled, fabric, delicate",0.6451562,0.61729866,0.6824971,0.11362193664674995,0.05372849659117709,0.06389431042462725,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666
what does this feel like?,vision,images_rgb/image_960_rgb.jpg,"soft, lined, fabric","soft, smooth, woven, fabric, rubber, plastic.","soft, smooth, woven, cool, flexible","woven, smooth, soft",0.7174428,0.69405687,0.6188909,0.040824829046386304,0.05372849659117709,0.0,0.4444444444444444,0.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
what does this feel like?,vision,images_rgb/image_2427_rgb.jpg,"smooth, plastic, deformable","leather, smooth, soft, fabric.","smooth, shiny, soft, flexible, cool","smooth, flexible, glossy, slippery, thin",0.6617179,0.7747345,0.76951766,0.08034284189446518,0.05372849659117709,0.05372849659117709,0.28571428571428575,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
what does this feel liek?,vision,images_rgb/image_1793_rgb.jpg,"hard, smooth, flat, splotchy","The image shows a knife handle with a yellow and black color scheme, a folded blue cloth, a white cloth, and a brown cardboard-like material on a white and gray speckled surface.

The key tactile attributes are: smooth, rough, soft, hard.

These attributes can be broken down as follows:
- The knife handle appears to have a smooth surface.
- The white cloth appears to have a soft and possibly slightly textured surface.
- The blue cloth appears to have a soft surface.
- The brown cardboard-like material appears to have a rough surface.
- The countertop appears to have a hard and slightly rough surface. 

So, a comma-separated list of the key tactile attributes is: smooth, soft, hard, rough.","smooth, cool, hard, rough, speckled","soft, fuzzy, absorbent, cloth, fibrous",0.41173354,0.78079826,0.6695609,0.001784672286871559,0.06389431042462725,0.0,0.03278688524590164,0.22222222222222224,0.0,0.25,0.5,0.0
what does this feel like?,vision,images_rgb/image_185_rgb.jpg,"mesh, plastic, deformable, hard","soft, fuzzy, smooth, rough, woven, fabric, rubber.","smooth, flexible, woven, rough, rigid","hard, rough, scratchy, metallic, rigid",0.7227193,0.7748854,0.6892037,0.0,0.0,0.0,0.0,0.0,0.22222222222222224,0.0,0.0,0.25
Describe the tactile properties of this image.,vision,images_rgb/image_2096_rgb.jpg,"deformable, grainy, woven","soft, fuzzy, smooth, lace, ridged, woven.","soft, fuzzy, woven, textured, stretchy","soft, fuzzy, smooth, flexible, mesh",0.7067129,0.7427535,0.7286353,0.0,0.0,0.0,0.2222222222222222,0.25,0.0,0.0,0.3333333333333333,0.0
tell me about the texture,vision,images_rgb/image_464_rgb.jpg,"hard, splotchy, smooth, flat","soft, fabric, stretchy, smooth.","soft, smooth, stretchy, lightweight, woven","soft, fabric, smooth, flexible, stretchy",0.614066,0.63066787,0.61348057,0.0,0.05372849659117709,0.05372849659117709,0.25,0.22222222222222224,0.22222222222222224,0.0,0.25,0.25
what does this feel like?,vision,images_rgb/image_4490_rgb.jpg,"uneven, patterned, thick","smooth, braided, ridged, leather-like, rubber-like, woven, corded.","smooth, flexible, braided, ridged, soft","smooth, flexible, rubbery, soft, ridged",0.65698767,0.69991714,0.65768373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tell me about the texture,vision,images_rgb/image_2997_rgb.jpg,"deformable, grainy, fabric","soft, smooth, fabric, slightly wrinkled, elasticized.","soft, smooth, lightweight, flexible, fabric","soft, smooth, fabric, wrinkled, flexible",0.6842463,0.7402127,0.6627095,0.0,0.05372849659117709,0.0,0.2222222222222222,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
texture?,vision,images_rgb/image_4330_rgb.jpg,"hard, lined, smooth","smooth, braided, woven, fuzzy.","smooth, flexible, braided, soft, rough","woven, smooth, braided, leather, rough",0.69495165,0.69086355,0.6818642,0.0,0.0,0.0,0.28571428571428575,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
Describe the tactile properties of this image.,vision,images_rgb/image_473_rgb.jpg,"uneven, patterned, sewn, fabric","The tactile attributes of the objects in the image are: smooth, textured, ridged, and possibly slightly raised or depressed for the holes in the blocks; soft, stretchy, and possibly slightly ribbed for the underwear; and smooth and possibly slightly reflective for the metal button. A comma-separated list of the key tactile attributes is: smooth, textured, ridged, raised, depressed, soft, stretchy, ribbed, reflective.","soft, smooth, stretchy, lightweight, fabric-like","soft, smooth, stretchy, thin, flexible",0.43646452,0.65268165,0.6231897,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
What can you tell me about touching this?,vision,images_rgb/image_3177_rgb.jpg,"elastic, lined, deformable, wrinkly","The key tactile attributes of the objects in the image are: soft, smooth, slightly wrinkled, elasticized, fabric, possibly cotton or polyester.","soft, smooth, stretchy, lightweight, flexible","soft, smooth, stretchy, flexible, fuzzy",0.63417923,0.70184785,0.72314095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tell me about the texture,vision,images_rgb/image_2262_rgb.jpg,"lined, fabric, sewn","smooth, slightly textured, woven.","soft, smooth, flexible, woven, thick","coarse, rough, thick, stiff, ridged",0.62300986,0.5570944,0.6090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What can you tell me about touching this?,vision,images_rgb/image_2187_rgb.jpg,"lined, deformable, soft, woven","The tactile attributes of the objects in the image are: soft, fuzzy, ridged, woven, smooth, and rough.","soft, fuzzy, textured, woven, rough","soft, fuzzy, woven, textured, flexible",0.62422144,0.68954885,0.7663505,0.011502783619900045,0.05372849659117709,0.05372849659117709,0.19047619047619047,0.4444444444444445,0.4444444444444445,0.25,0.5,0.5
Describe the tactile properties of this image.,vision,images_rgb/image_2480_rgb.jpg,"mesh, deformable, flimsy","The tactile attributes of the image are: smooth, soft, lace, braided, rubbery, woven.","smooth, soft, flexible, woven, silky","soft, smooth, lace, braided, flexible",0.58228517,0.68799853,0.7040022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
